'1','01-01-1980 00:00:00','9','de','A3','A2','A4','A3','A3','A2','A4','A2','A4','A2','A4','A2','A3','A2','A2','A1','A3','A2','A3','A2','A1','A1','A2','A3','A2','A1','A2','A3','A1','A2','A3','A2','A2','A1','A3','A2','A1','A1','A2','A1','A2','A1','A2','A1','A1','A1','A1','A1','A1','A1','A1','A1','A3','A3','A2','A4','A2','A3','A1','A4','A4','A3','A4','A5','A2','A1','A2','A1','A1','A1','A1','A1','A1','A2','A1','A2','A3','A3','A3','A2','A1',,'A1','2','A3','A2'
'4','01-01-1980 00:00:00','9','de','A1',,'A1',,'A1',,'A1',,'A1',,'A1',,'A1',,'A2',,'A3',,'A3',,'A3',,'A1','A1','A1','A1','A1','A3','A3','A2','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A2','A2','A2','A2','A1','A1','A2','A1','A1','A3','A1','A2','A1','A2',,'A2',,'A2',,'A2',,'A1',,'A1',,'A1',,,'A1','2','A4','A5'
'6','01-01-1980 00:00:00','9','de','A2','A1','A2','A1','A2','A1','A1','A1','A2','A1','A1','A1','A1','A1','A3','A1','A2','A1','A3','A2','A2','A1','A2','A3','A2','A2','A2','A1','A2','A2','A2','A2','A1','A1','A2','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A2','A2','A3','A4','A3','A3','A1','A2','A4','A4','A2','A2','A3','A3','A3','A3',,'A2',,'A1',,'A1',,'A2',,'A1',,'A1',,,'A2',,'A2','A2'
'7','01-01-1980 00:00:00','9','de','A2','A1','A2','A1','A2','A1','A1','A1','A3','A2','A2','A1','A2','A1','A3','A1','A3','A4','A2','A1','A2','A1',,'A1','A2','A2','A1','A3','A2','A4','A2','A2','A1','A2','A3','A2','A1','A2','A1','A2','A1','A1','A1','A2','A2','A2','A1','A1','A1','A1','A1','A1','A2','A2','A1','A3','A1','A3','A1','A4','A4','A4','A2','A1','A3','A3','A3','A3','A1','A4','A1','A1','A1','A2','A1','A3','A1','A2','A1','A2','A1',,'A3',,'A4','A4'
'9','01-01-1980 00:00:00','9','de','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A2','A1','A1','A1','A1','A1','A2','A2','A3','A2','A1','A1','A1','A1','A2','A1','A1','A2','A2','A2','A1','A1','A1','A1','A1','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A2','A1','A2','A2','A2','A2','A2','A2','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1',,'A1','2','A3','A4'
'13','01-01-1980 00:00:00','9','de','A2','A1','A3','A2','A3','A2','A2','A1','A2','A1','A3','A2','A2','A1','A3','A3','A3','A2','A3','A2','A1','A1','A2','A3','A2','A2','A3','A3','A4','A2','A2','A2','A3','A3','A2','A2','A2','A2','A2','A3','A2','A2','A3','A2','A1','A2','A1','A4','A4','A2','A1','A2','A2','A3','A2','A2','A2','A2','A1','A2','A2','A5','A5','A2','A5','A5','A5','A2','A1','A4','A2','A5','A3','A2','A1','A4','A3','A2','A3','A2','A3',,'A1','2','A2','A2'
'14','01-01-1980 00:00:00','9','de','A2','A1','A2','A1','A2','A1','A2','A1','A3','A2','A2','A1','A1','A1','A2','A1','A4','A2','A3','A2','A1','A1','A2','A2','A2','A2','A1','A2','A3','A2','A3','A2','A2','A2','A3','A2','A1','A1','A1','A2','A2','A1','A2','A3','A2','A2','A2','A1','A1','A1','A1','A1','A2','A2','A2','A3','A2','A3','A1','A2','A2','A5','A3','A1','A2','A4','A4','A4','A2','A2','A1','A2','A1','A1','A1','A2','A1','A2','A1','A2','A3',,'A3','2','A3','A4'
'15','01-01-1980 00:00:00','9','de','A3','A2','A2','A2','A3','A2','A3','A2','A4','A3','A2','A1','A3','A2','A4','A3','A2','A1','A2','A2','A1','A1','A3','A4','A2','A2','A1','A2','A3','A2','A1','A1','A3','A2','A2','A3','A2','A2','A2','A5','A2','A1','A1','A2','A2','A2','A1','A1','A1','A1','A2','A2','A2','A3','A3','A3','A3','A2','A1','A2','A5','A5','A2','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A3','A1','A3','A1','A1','A1','A2',,'A2','2','A2','A1'
'16','01-01-1980 00:00:00','9','de','A3','A4','A4','A3','A3','A4','A2','A4','A3','A4','A4','A3','A2','A1','A4','A4','A4','A3','A4','A3','A2','A1','A3','A3','A3','A1','A1','A1','A4','A2','A4','A4','A1','A4','A4','A4','A4','A4','A4','A3','A4','A4','A3','A4','A4','A4','A4','A3','A1','A4','A2','A4','A3','A4','A4','A3','A4','A2','A3','A2','A4','A3','A4','A2','A2','A4','A4','A4','A2','A2','A1','A1','A1','A1','A1','A2','A1','A3','A3','A1','A1','Ausweitung des Gleitzeitrahmens am Freitag!! Urlaub auf Stundenbasis, Ein Urlaubstag = 8.25h','A2','2','A3','A2'
'17','01-01-1980 00:00:00','9','de','A4','A3','A3','A1','A2','A1','A2','A1','A2','A1','A2','A1','A2','A1','A2','A1','A4','A2','A2','A2','A1','A1','A1','A2','A3','A2','A2','A1','A2','A2','A3','A2','A2','A2','A2','A2','A2','A2','A5','A2','A1','A2','A3','A2','A5','A3','A4','A1','A1','A2','A2','A2','A2','A2','A3','A3','A2','A2','A1','A2','A3','A3','A3','A1','A1','A3','A3','A3','A1','A3','A1','A1','A1',,'A1','A3','A1','A2','A1','A2','A1',,'A5','2','A2','A1'
